labour_entry_id,labour_id,work_type,project_id,work_date,daily_wage
LE00254,LB003,Helper,PR002,2024-04-01,750
LE00255,LB018,Carpenter,PR001,2024-04-01,650
LE00256,LB010,Bar Bender,PR002,2024-04-01,1000
LE00257,LB019,Carpenter,PR001,2024-04-01,850
LE00258,LB020,Bar Bender,PR002,2024-04-01,600
LE00259,LB009,Helper,PR001,2024-04-01,1000
LE00260,LB014,Carpenter,PR002,2024-04-01,850
LE00261,LB001,Mason,PR002,2024-04-02,650
LE00262,LB004,Mason,PR001,2024-04-02,650
LE00263,LB009,Helper,PR002,2024-04-02,1000
LE00264,LB006,Mason,PR001,2024-04-02,600
LE00265,LB018,Carpenter,PR002,2024-04-02,650
LE00266,LB020,Bar Bender,PR001,2024-04-02,600
LE00267,LB002,Helper,PR002,2024-04-02,800
LE00268,LB010,Bar Bender,PR001,2024-04-02,1000
LE00269,LB007,Helper,PR002,2024-04-02,750
LE00270,LB017,Bar Bender,PR001,2024-04-02,650
LE00271,LB011,Bar Bender,PR002,2024-04-02,750
LE00272,LB012,Mason,PR001,2024-04-02,800
LE00273,LB014,Carpenter,PR002,2024-04-02,850
LE00274,LB019,Carpenter,PR001,2024-04-02,850
LE00275,LB005,Mason,PR002,2024-04-02,900
LE00276,LB008,Mason,PR001,2024-04-02,1000
LE00277,LB003,Helper,PR002,2024-04-02,750
LE00278,LB015,Helper,PR001,2024-04-02,700
LE00279,LB013,Bar Bender,PR002,2024-04-02,700
LE00280,LB016,Mason,PR001,2024-04-02,850
LE00281,LB017,Bar Bender,PR002,2024-04-03,650
LE00282,LB018,Carpenter,PR001,2024-04-03,650
LE00283,LB007,Helper,PR002,2024-04-03,750
LE00284,LB012,Mason,PR001,2024-04-03,800
LE00285,LB014,Carpenter,PR002,2024-04-03,850
LE00286,LB002,Helper,PR001,2024-04-03,800
LE00287,LB011,Bar Bender,PR002,2024-04-03,750
LE00288,LB006,Mason,PR001,2024-04-03,600
LE00289,LB010,Bar Bender,PR002,2024-04-03,1000
LE00290,LB013,Bar Bender,PR001,2024-04-03,700
LE00291,LB015,Helper,PR002,2024-04-03,700
LE00292,LB005,Mason,PR001,2024-04-03,900
LE00293,LB009,Helper,PR002,2024-04-03,1000
LE00294,LB016,Mason,PR001,2024-04-03,850
LE00295,LB004,Mason,PR002,2024-04-03,650
LE00296,LB003,Helper,PR001,2024-04-03,750
LE00297,LB019,Carpenter,PR002,2024-04-03,850
LE00298,LB008,Mason,PR001,2024-04-03,1000
LE00299,LB020,Bar Bender,PR002,2024-04-03,600
LE00300,LB001,Mason,PR001,2024-04-03,650
LE00301,LB007,Helper,PR002,2024-04-04,750
LE00302,LB014,Carpenter,PR001,2024-04-04,850
LE00303,LB013,Bar Bender,PR002,2024-04-04,700
LE00304,LB006,Mason,PR001,2024-04-04,600
LE00305,LB010,Bar Bender,PR002,2024-04-04,1000
LE00306,LB020,Bar Bender,PR001,2024-04-04,600
LE00307,LB009,Helper,PR002,2024-04-04,1000
LE00308,LB001,Mason,PR001,2024-04-04,650
LE00309,LB005,Mason,PR002,2024-04-04,900
LE00310,LB012,Mason,PR001,2024-04-04,800
LE00311,LB004,Mason,PR002,2024-04-04,650
LE00312,LB015,Helper,PR001,2024-04-04,700
LE00313,LB017,Bar Bender,PR002,2024-04-04,650
LE00314,LB016,Mason,PR001,2024-04-04,850
LE00315,LB019,Carpenter,PR002,2024-04-04,850
LE00316,LB008,Mason,PR001,2024-04-04,1000
LE00317,LB002,Helper,PR002,2024-04-04,800
LE00318,LB003,Helper,PR001,2024-04-04,750
LE00319,LB011,Bar Bender,PR002,2024-04-04,750
LE00320,LB018,Carpenter,PR001,2024-04-04,650
LE00321,LB003,Helper,PR001,2024-04-05,750
LE00322,LB010,Bar Bender,PR002,2024-04-05,1000
LE00323,LB017,Bar Bender,PR001,2024-04-05,650
LE00324,LB011,Bar Bender,PR002,2024-04-05,750
LE00325,LB020,Bar Bender,PR001,2024-04-05,600
LE00326,LB014,Carpenter,PR002,2024-04-05,850
LE00327,LB013,Bar Bender,PR001,2024-04-05,700
LE00328,LB004,Mason,PR002,2024-04-05,650
LE00329,LB018,Carpenter,PR001,2024-04-05,650
LE00330,LB005,Mason,PR002,2024-04-05,900
LE00331,LB015,Helper,PR001,2024-04-05,700
LE00332,LB019,Carpenter,PR002,2024-04-05,850
LE00333,LB016,Mason,PR001,2024-04-05,850
LE00334,LB001,Mason,PR002,2024-04-05,650
LE00335,LB007,Helper,PR001,2024-04-05,750
LE00336,LB002,Helper,PR002,2024-04-05,800
LE00337,LB009,Helper,PR001,2024-04-05,1000
LE00338,LB008,Mason,PR002,2024-04-05,1000
LE00339,LB006,Mason,PR001,2024-04-05,600
LE00340,LB012,Mason,PR002,2024-04-05,800
LE00341,LB014,Carpenter,PR002,2024-04-06,850
LE00342,LB019,Carpenter,PR001,2024-04-06,850
LE00343,LB007,Helper,PR002,2024-04-06,750
LE00344,LB013,Bar Bender,PR001,2024-04-06,700
LE00345,LB016,Mason,PR002,2024-04-06,850
LE00346,LB018,Carpenter,PR001,2024-04-06,650
LE00347,LB004,Mason,PR002,2024-04-06,650
LE00348,LB003,Helper,PR001,2024-04-06,750
LE00349,LB011,Bar Bender,PR002,2024-04-06,750
LE00350,LB001,Mason,PR001,2024-04-06,650
LE00351,LB002,Helper,PR002,2024-04-06,800
LE00352,LB015,Helper,PR001,2024-04-06,700
LE00353,LB020,Bar Bender,PR002,2024-04-06,600
LE00354,LB010,Bar Bender,PR001,2024-04-06,1000
LE00355,LB006,Mason,PR002,2024-04-06,600
LE00356,LB005,Mason,PR001,2024-04-06,900
LE00357,LB008,Mason,PR002,2024-04-06,1000
LE00358,LB012,Mason,PR001,2024-04-06,800
LE00359,LB017,Bar Bender,PR002,2024-04-06,650
LE00360,LB009,Helper,PR001,2024-04-06,1000
LE00361,LB015,Helper,PR001,2024-04-08,700
LE00362,LB005,Mason,PR002,2024-04-08,900
LE00363,LB020,Bar Bender,PR001,2024-04-08,600
LE00364,LB017,Bar Bender,PR002,2024-04-08,650
LE00365,LB011,Bar Bender,PR001,2024-04-08,750
LE00366,LB013,Bar Bender,PR002,2024-04-08,700
LE00367,LB008,Mason,PR001,2024-04-08,1000
LE00368,LB010,Bar Bender,PR002,2024-04-08,1000
LE00369,LB012,Mason,PR001,2024-04-08,800
LE00370,LB009,Helper,PR002,2024-04-08,1000
LE00371,LB007,Helper,PR001,2024-04-08,750
LE00372,LB016,Mason,PR002,2024-04-08,850
LE00373,LB014,Carpenter,PR001,2024-04-08,850
LE00374,LB002,Helper,PR002,2024-04-08,800
LE00375,LB006,Mason,PR001,2024-04-08,600
LE00376,LB004,Mason,PR002,2024-04-08,650
LE00377,LB019,Carpenter,PR001,2024-04-08,850
LE00378,LB018,Carpenter,PR002,2024-04-08,650
LE00379,LB001,Mason,PR001,2024-04-08,650
LE00380,LB003,Helper,PR002,2024-04-08,750
LE00381,LB017,Bar Bender,PR002,2024-04-09,650
LE00382,LB016,Mason,PR001,2024-04-09,850
LE00383,LB008,Mason,PR002,2024-04-09,1000
LE00384,LB009,Helper,PR001,2024-04-09,1000
LE00385,LB015,Helper,PR002,2024-04-09,700
LE00386,LB002,Helper,PR001,2024-04-09,800
LE00387,LB012,Mason,PR002,2024-04-09,800
LE00388,LB005,Mason,PR001,2024-04-09,900
LE00389,LB004,Mason,PR002,2024-04-09,650
LE00390,LB013,Bar Bender,PR001,2024-04-09,700
LE00391,LB006,Mason,PR002,2024-04-09,600
LE00392,LB010,Bar Bender,PR001,2024-04-09,1000
LE00393,LB019,Carpenter,PR002,2024-04-09,850
LE00394,LB018,Carpenter,PR001,2024-04-09,650
LE00395,LB007,Helper,PR002,2024-04-09,750
LE00396,LB020,Bar Bender,PR001,2024-04-09,600
LE00397,LB014,Carpenter,PR002,2024-04-09,850
LE00398,LB003,Helper,PR001,2024-04-09,750
LE00399,LB001,Mason,PR002,2024-04-09,650
LE00400,LB011,Bar Bender,PR001,2024-04-09,750
LE00401,LB003,Helper,PR002,2024-04-10,750
LE00402,LB014,Carpenter,PR001,2024-04-10,850
LE00403,LB019,Carpenter,PR002,2024-04-10,850
LE00404,LB011,Bar Bender,PR001,2024-04-10,750
LE00405,LB015,Helper,PR002,2024-04-10,700
LE00406,LB007,Helper,PR001,2024-04-10,750
LE00407,LB001,Mason,PR002,2024-04-10,650
LE00408,LB004,Mason,PR001,2024-04-10,650
LE00409,LB016,Mason,PR002,2024-04-10,850
LE00410,LB012,Mason,PR001,2024-04-10,800
LE00411,LB010,Bar Bender,PR002,2024-04-10,1000
LE00412,LB018,Carpenter,PR001,2024-04-10,650
LE00413,LB017,Bar Bender,PR002,2024-04-10,650
LE00414,LB013,Bar Bender,PR001,2024-04-10,700
LE00415,LB009,Helper,PR002,2024-04-10,1000
LE00416,LB020,Bar Bender,PR001,2024-04-10,600
LE00417,LB005,Mason,PR002,2024-04-10,900
LE00418,LB002,Helper,PR001,2024-04-10,800
LE00419,LB008,Mason,PR002,2024-04-10,1000
LE00420,LB006,Mason,PR001,2024-04-10,600
LE00421,LB016,Mason,PR002,2024-04-11,850
LE00422,LB008,Mason,PR001,2024-04-11,1000
LE00423,LB009,Helper,PR002,2024-04-11,1000
LE00424,LB014,Carpenter,PR001,2024-04-11,850
LE00425,LB020,Bar Bender,PR002,2024-04-11,600
LE00426,LB001,Mason,PR001,2024-04-11,650
LE00427,LB007,Helper,PR002,2024-04-11,750
LE00428,LB006,Mason,PR001,2024-04-11,600
LE00429,LB011,Bar Bender,PR002,2024-04-11,750
LE00430,LB012,Mason,PR001,2024-04-11,800
LE00431,LB017,Bar Bender,PR002,2024-04-11,650
LE00432,LB003,Helper,PR001,2024-04-11,750
LE00433,LB019,Carpenter,PR002,2024-04-11,850
LE00434,LB002,Helper,PR001,2024-04-11,800
LE00435,LB005,Mason,PR002,2024-04-11,900
LE00436,LB013,Bar Bender,PR001,2024-04-11,700
LE00437,LB015,Helper,PR002,2024-04-11,700
LE00438,LB010,Bar Bender,PR001,2024-04-11,1000
LE00439,LB004,Mason,PR002,2024-04-11,650
LE00440,LB018,Carpenter,PR001,2024-04-11,650
LE00441,LB014,Carpenter,PR002,2024-04-12,850
LE00442,LB005,Mason,PR001,2024-04-12,900
LE00443,LB015,Helper,PR002,2024-04-12,700
LE00444,LB006,Mason,PR001,2024-04-12,600
LE00445,LB002,Helper,PR002,2024-04-12,800
LE00446,LB019,Carpenter,PR001,2024-04-12,850
LE00447,LB007,Helper,PR002,2024-04-12,750
LE00448,LB017,Bar Bender,PR001,2024-04-12,650
LE00449,LB004,Mason,PR002,2024-04-12,650
LE00450,LB008,Mason,PR001,2024-04-12,1000
LE00451,LB013,Bar Bender,PR002,2024-04-12,700
LE00452,LB010,Bar Bender,PR001,2024-04-12,1000
LE00453,LB020,Bar Bender,PR002,2024-04-12,600
LE00454,LB003,Helper,PR001,2024-04-12,750
LE00455,LB012,Mason,PR002,2024-04-12,800
LE00456,LB011,Bar Bender,PR001,2024-04-12,750
LE00457,LB001,Mason,PR002,2024-04-12,650
LE00458,LB016,Mason,PR001,2024-04-12,850
LE00459,LB009,Helper,PR002,2024-04-12,1000
LE00460,LB018,Carpenter,PR001,2024-04-12,650
LE00461,LB012,Mason,PR001,2024-04-13,800
LE00462,LB008,Mason,PR002,2024-04-13,1000
LE00463,LB003,Helper,PR001,2024-04-13,750
LE00464,LB002,Helper,PR002,2024-04-13,800
LE00465,LB001,Mason,PR001,2024-04-13,650
LE00466,LB004,Mason,PR002,2024-04-13,650
LE00467,LB015,Helper,PR001,2024-04-13,700
LE00468,LB016,Mason,PR002,2024-04-13,850
LE00469,LB010,Bar Bender,PR001,2024-04-13,1000
LE00470,LB018,Carpenter,PR002,2024-04-13,650
LE00471,LB014,Carpenter,PR001,2024-04-13,850
LE00472,LB011,Bar Bender,PR002,2024-04-13,750
LE00473,LB019,Carpenter,PR001,2024-04-13,850
LE00474,LB006,Mason,PR002,2024-04-13,600
LE00475,LB013,Bar Bender,PR001,2024-04-13,700
LE00476,LB005,Mason,PR002,2024-04-13,900
LE00477,LB017,Bar Bender,PR001,2024-04-13,650
LE00478,LB020,Bar Bender,PR002,2024-04-13,600
LE00479,LB009,Helper,PR001,2024-04-13,1000
LE00480,LB007,Helper,PR002,2024-04-13,750
LE00481,LB006,Mason,PR002,2024-04-15,600
LE00482,LB004,Mason,PR001,2024-04-15,650
LE00483,LB020,Bar Bender,PR003,2024-04-15,600
LE00484,LB010,Bar Bender,PR002,2024-04-15,1000
LE00485,LB019,Carpenter,PR001,2024-04-15,850
LE00486,LB017,Bar Bender,PR003,2024-04-15,650
LE00487,LB001,Mason,PR002,2024-04-15,650
LE00488,LB005,Mason,PR001,2024-04-15,900
LE00489,LB015,Helper,PR003,2024-04-15,700
LE00490,LB011,Bar Bender,PR002,2024-04-15,750
LE00491,LB007,Helper,PR001,2024-04-15,750
LE00492,LB012,Mason,PR003,2024-04-15,800
LE00493,LB016,Mason,PR002,2024-04-15,850
LE00494,LB014,Carpenter,PR001,2024-04-15,850
LE00495,LB013,Bar Bender,PR003,2024-04-15,700
LE00496,LB002,Helper,PR002,2024-04-15,800
LE00497,LB009,Helper,PR001,2024-04-15,1000
LE00498,LB003,Helper,PR003,2024-04-15,750
LE00499,LB018,Carpenter,PR002,2024-04-15,650
LE00500,LB008,Mason,PR001,2024-04-15,1000
LE00501,LB019,Carpenter,PR001,2024-04-16,850
LE00502,LB002,Helper,PR002,2024-04-16,800
LE00503,LB012,Mason,PR003,2024-04-16,800
LE00504,LB014,Carpenter,PR001,2024-04-16,850
LE00505,LB018,Carpenter,PR002,2024-04-16,650
LE00506,LB020,Bar Bender,PR003,2024-04-16,600
LE00507,LB009,Helper,PR001,2024-04-16,1000
LE00508,LB011,Bar Bender,PR002,2024-04-16,750
LE00509,LB006,Mason,PR003,2024-04-16,600
LE00510,LB001,Mason,PR001,2024-04-16,650
LE00511,LB007,Helper,PR002,2024-04-16,750
LE00512,LB008,Mason,PR003,2024-04-16,1000
